总是去逃避 d+v+v
不要再邮寄 d+d+v
何以成为 d+v
刘鑫分手 nh+v
掌握规律 v+n
均为 d+v
突破后 v+nd
之前 nd
争议1案件 v+m+n
一边搞 d+v
皆能 d+v
上述两者 b+n
英美 j+j
刺切伤 a+n
江歌先发生 n+d+v
随后发 d+v
警视厅逮捕 n+v
要不要认罪 v+d+v
永久居留权 b+n
黑江歌 ns+n
争议备受 v+v
门外没 nl+v
些衣服 q+n
原以为 d+v
唯一目击者 b+n
随便卷入 a+v
永井办 nh+v
一人 m+n
不大可能 d+v
在门外 v+nl
当时 nt
不敬 d+v
不敢 d+v
警方共接到 n+d+v
个人恩怨 n+n
究竟还要看 d+v+v
房间门口 n+nl
动脉上 n+nd
表现刺 v+v
杀人罪 v+n
极少数 d+m
被害人叫嚷 n+v
一些刘鑫 m+nh
知乎网友 v+n
记者了解 n+v
要犯 v+v
到20日 v+nt
仅24 d+m
外包装监控 n+v
别开玩笑 d+v
废除声音 v+n
说应该赔偿 v+v+v
记者陶若谷 n+nh
面对妈妈 v+n
违法刀具 v+n
将背 d+v
须知情深 d+v
①陈世峰 m+nh
女孩刘鑫 n+nh
引渡回国有 v+v+v
则须另当别论 d+d+i
擦拭眼睛 v+n
被告人准备 n+v
很厉害 d+a
12月14日 nt+nt
2000个 m+q
刀口颈部 n+n
去年4月 nt+nt
黄风说 nh+v
今天大加讨伐 nt+d+v
下午小时 nt+n
江歌室友刘鑫 n+nh
千万不要让 d+d+v
综合来源 v+n
极其恶毒 d+a
定边中学 v+n
日本房子 ns+n
人管辖 n+v
地势建 n+v
陈世峰指纹 nh+n
不合法 d+a
最极端 d+a
冤魂喊 n+v
地方 n
会阐述 v+v
也称作 d+v
无法理解 v+v
并非激情犯罪 v+n+v
事情经过 n+n
争论点在于 n+v
唯一关键证人 b+n+n
一直以来 d+nd
感服江歌同时 v+n+n
绝对救 d+v
不要轻易介入 d+d+v
没有找到 d+v
承认误伤 v+v
中国国籍 ns+n
社交网站 n+n
也只有 d+d+v
同为 d+v
央视评论 j+v
仅仅判 d+v
陈世峰戴 nh+v
陈世峰再次骚扰 nh+d+v
逐渐形成 d+v
检察官 n
远远多于 d+v
辱骂街头团伙 n+nl+n
亲戚们 n+k
两大 m+a
审判 v
胸部刀伤 n+n
多绝望 a+a
一个失去 m+v
两天 m+q
常理常情 n+n
表情木然 n+z
一千人 m+n
人德行 n+n
道歉信中 n+nd
一些日本人 m+ns+n
日式榻榻米 b+n
被告律师 n+n
没有有 d+v
行动报告书 v+n
没有规定 d+v
渣男 n+b
不下 d+v
希望开庭 v+v
判陈世峰死刑 v+nh+n
多走 d+v
事实 n
刀口长达 n+a+v
不为 d+v
陈世峰刺杀 nh+v
还有宽慰 v+v
只提供 d+v
封面新闻记者 n+n
起来 v
将作证 d+v
旧伤 a+n
来找 v+v
正像 d+v
个公道 q+a
便放弃 d+v
导致无法复合 v+v+v
一直没有 d+v
应当说 v+v
养育模式 v+n
到附近 v+nd
就觉得 d+v
门锁 n+v
宣泄互相攻击 v+d+v
江歌江歌 n+n
时间地点 n+n
刘鑫一家 nh+n
是否发现 v+v
人人都有 n+d+v
当晚刘鑫先进入 nt+nh+v
损伤状况 v+n
好闺蜜 a+n
江歌接 n+v
时间推进 n+v
要带 v+v
江陈双方 n+nh+n
细节上 n+nd
人能得到 n+v+v
刘鑫逃离 nh+v
情境下 n+nd
皆为 d+v
影响 v
人引起 n+v
了解表现 v+v
四次 m+q
刘鑫不承担 nh+d+v
复合 v
没有赋予 d+v
引渡协议 v+n
现场媒体 nl+n
听说刘鑫防身 v+nh+v
是否会出庭 v+v+v
再做 d+v
严重倾向性 a+n
当时思 nt+v
一直想 d+v
日本对待 ns+v
2016年11月24日 nt+nt+nt
相关聊天记录 v+v+v
被害人脖子处 n+n+n
营救江歌 v+n
时事先预谋 n+d+v
今日12月11日 nt+nt+nt
凡犯罪 d+v
点锋芒 q+n
歌被害案 n+n
东京台东区 ns+ns
做抗争 v+v
凶器到底来 n+d+v
侵犯罪 v+n
感到冰冷残酷 v+z+a
后来检方纠正 nt+n+v
日本相关法律 ns+v+n
话说 n+v
社会基本价值 n+a+n
大江洋平 n+a
最后十 nd+m
就包括 d+v
人类战犯 n+n
延安告诉 ns+v
一个妈妈 m+n
↓采访中 v+v+nd
总会 d+v
相比起 v+v
2016年11月3日 nt+nt+nt
道德批判 n+v
瞬间几秒 nt+m+q
日程中 n+nd
并不想 d+d+v
灵感来源于 n+v
江宛秋满怀 nh+v
陈世峰拍 nh+v
成功引渡 a+v
一手 m+n
陈世峰实验室 nh+n
还找到 d+v
会让 v+v
女子角度 n+n
过于站 d+v
购物网站 v+n
杀人者处 n+v
就实现 d+v
成分远大于 n+a+v
法庭之上 n+nd
大二时候 m+n
稍稍弥补 d+d+v
非贯通伤 b+n
有利无 a+v
刘鑫存在 nh+v
记者未能查 n+v+v
情绪非常激动 n+d+a
具体情况 a+n
可能触及 v+v
看法不同 n+a
是否杀人 v+v
微博上 j+nd
死亡状态 v+n
江歌案11日开庭 n+nt+v
三层 m+q
刘鑫做 nh+v
无法站立 v+v
只邀请 d+v
校友关系 n+n
刘鑫先进房间 nh+a+n
懂得幽暗 v+a
青岛女孩 ns+n
要依据 v+v
好小人 a+n
江歌家人 n+n
②陈世峰去 m+nh+v
世界安静 n+a
阅读评审团 v+n
钱人民币 n+n
法医不认为 n+d+v
公寓 n
陈世峰口中 nh+nl
之后陈世峰补刀 nd+nh+v
刘鑫可以拒绝 nh+v+v
更值得一提 d+i
司法程序 n+n
也只能冀望 d+v+v
当天未出现 nt+d+v
期间留意 nd+v
朝日新闻 i
没有签署 d+v
律师强调 n+v
却无法见到 d+v+v
公共讨论 b+v
法定关系 b+n
到情 v+n
将持续审理 d+v+v
07分 m+q
陈世峰听到 nh+v
很多媒体 m+n
还有个地方 v+q+n
随后江歌回来 d+d+v
没有悔恨 d+v
相关人 v+n
现在警察署 nt+n
来解决 v+v
电视上 n+nd
量刑也有 v+d+v
试开门 v+v
时间表如下 n+v
艾小羊作为 n+v
朋友仗义执言 n+i
陈世峰手上 nh+nl
在土里面 v+n+nd
374天 m+q
比较困难 d+a
3人 m+n
觉得很有 v+d+v
检方出示 n+v
陈娴实习编辑 nh+v+n
新浪湖北 nz+ns
人们心底 n+n
微信记录 n+n
分手时 v+n
涉嫌威胁 v+v
进屋内 v+nl
透露 v
不断骚扰 d+v
查看记录 v+v
要看到 v+v
正义迷惑 n+a
检方讯问 n+v
比较低 d+a
朋友 n
说不定时候 i+n
江歌案今日开审 n+nt+v
不断表示 d+v
中午12 nt+m
联系 v
被害一年 v+m+q
身份证号 n+n
信息内容 n+n
犯罪故意 v+b
当时没有在意 nt+d+v
行凶时 v+n
始作俑者王志安 n+nh
刘鑫不要 nh+d
刘鑫一直逃避 nh+d+v
刘鑫破 nh+v
江歌刺 n+v
念陈情信 v+n
能否妨碍 v+v
检方会有 n+v+v
江歌到 n+v
四天 m+q
当地法院 nl+n
案件当事人 n+n
日本天 ns+q
将受审 d+v
拒绝配合 v+v
同样打听 d+v
手上方 nl+d
刘鑫面对 nh+v
曾反复奔走 d+d+v
仍可以 d+v
公共秩序 b+n
刘鑫搬进 nh+v
陈死刑 nh+n
失血身亡 v+v
刘鑫不负 nh+d+v
12月20号 nt+nt
报警通话 v+v
事情至此 n+d
华侨大学 n+n
江秋莲停顿 nh+v
就算再爱 d+d+v
刘鑫担心 nh+v
唯一感到 d+v
无奈公布 d+v
江歌悲剧 n+n
母亲江歌室友 n+nh
新浪财经 nz+n
辩护方也提出 n+d+v
一万日元 m+n
受害人家属 n+n
律师助理 n+n
看看发 v+v
现场出示 nl+v
法律服务 n+v
陈世峰庭审 nh+v
打开跑 v+v
心有所忌 n+v
仍然难以记 d+d+v
70岁 m+q
法治精神 n+n
刘鑫可不可以告诉 nh+v+v
衣服破裂 n+v
日本实行 ns+v
搬走后 v+nd
评委团成员 n+n
研究生一年级 n+m+n
1岁 m+q
引领中 v+nd
案件开庭 n+v
一串 m+q
也需要 d+v
大江洋平律师 ns+n
警方取证 n+v
理性客观 n+a
自白证据 n+n
刘鑫不在家 nh+d+v
究背后 v+nd
多刀 m+q
刘鑫提前 nh+v
刺入已有 v+d+v
视觉中国图 n+ns+n
13年 m+q
人有 n+v
一个花 m+n
我国日本 n+ns
12家 m+q
让帮忙 v+v
没有存在感 v+n
家属做 n+v
再出 d+v
同住女孩 d+v+n
焦点法律 n+n
提出 v
是否会出席 v+v+v
称刺 v+v
刘鑫活 nh+v
到底来自 d+v
警方发现 n+v
陈世峰一眼 nh+m+q
20日下午 nt+nt
一次 m+q
里面 nd
争议点在于 n+v
刑事犯罪 b+v
都有所 d+v
6丁 m+q
诸多信息 m+n
描述 v
选择 v
江歌遇害案中 n+v+nd
微博认证信息 n+v+n
时空环境 n+n
都散发 d+v
旁听庭审 v+v
资料整合 n+v
王剑波表示 nh+v
非常不光彩 d+d+a
刚刚结束 d+v
不要 d+v
争执过程 v+n
主谋策划 n+v
无形规则 b+n
媒体谈江 n+ns
都说 d+v
法律行业 n+n
江歌联系 n+v
刘鑫供述 nh+v
预谋杀人 v+v
换问题 v+n
全部要 m+v
永远无法改变 d+v+v
江歌进 n+v
疑提出 v+v
法庭提问 n+v
电话对话 n+v
一周 m+q
曾多次帮助 d+m+v
半天庭审 m+v
并没有发现 d+d+v
江歌过 n+v
秀刚烫 nh+v
联系方式 v+n
面对王志安 v+nh
下午13:32 nt+m
下到 v+v
无力承担 v+v
情节处 n+v
11月24日 nt+nt
车站广播 n+v
道德标准 n+n
在泥沼中 d+n+nd
23点 m+q
怯懦自保 a+v
口诛笔伐中 i+nd
独生子女特有 n+b
陈世峰等候 nh+v
江歌案朴素正义 n+a+n
全部个人信息 m+n+n
将近三百天 d+m+q
到月 v+n
钱包里 n+nd
更有 d+v
祭拜 v
彭新林说 nh+v
见面 v
日本国内 ns+nl
残杀江歌 v+n
讨伐不合格 v+d+v
-9月 m+n
只有 d+v
24万网友 m+n
辩方还原 n+v
很窄 d+a
不妥当 d+a
安全教育 a+v
找江歌 ns+n
以下几处 nd+m+q
别找 d+v
案发时 v+n
挂断电话 v+n
江歌遇到 n+v
将产生 d+v
26个 m+q
要厘清 v+v
道德规范 n+v
陈背包 nh+n
刘鑫受到 nh+v
小指 a+n
第三通 m+q
1.陪 m+v
刘鑫表示 nh+v
接连三次 d+m+q
又考上 d+v
法医认为 n+v
看到 v
最后交锋 nd+v
道德 n
必须程序 d+n
视觉中国 n+ns
一进 m+v
相对来说 d+v
东七门 nz+n
没有出庭 v+v
最不 d+d
不要去考验 d+v+v
事实事实 n+n
直到双方发生 v+n+v
江歌左 n+nd
目前有 nt+v
听到对话 v+v
自辩媒体 v+n
也能 d+v
相关阅读 v+v
法定义务 b+n
江歌回复 n+v
最近 nt
系前男友 v+nd+n
还特意嘱咐 d+d+v
江秋莲回答 nh+v
还想到 d+v
众多政府 m+n
当时想到 nt+v
江歌遗体 nh+n
据江妈妈 ns+n
朋友圈里 n+nd
京都律师 ns+n
激烈冲突 a+v
具备要 v+v
不小心 d+a
想起风衣 v+n
对立不得不给予 v+d+v
证人有 n+v
男友很小人 n+d+n
想起说 v+v
刘鑫未施 nh+d+v
能喝 v+v
并不排除 d+d+v
很多时候 m+n
即将开庭 d+v
听到话 v+n
明显高于 a+v
江秋莲瘦 nh+a
多次出头 m+v
可自愿 v+v
郑泽善说 nh+v
故意锁门 d+v
母亲中年丧女 n+nt+n
法律无责 n+v
被告人微信昵称 n+n+v
导致江歌堵 v+n+v
江歌气管 n+n
广泛关注 a+v
辩护人主张 n+v
互联网质问 n+v
接受新京报采访 v+nz+v
江歌案法庭 n+n
想象中 v+nd
直到现在 v+nt
去开门 v+v
也让 d+v
触法风险 n+n
等上楼 v+v
下午13点15分 nt+nt+nt
被告人认识 n+n
即前男友 v+nd+n
山东青岛 ns+ns
直接影响 a+v
网络情绪 n+n
贴身衣物 a+n
房间内 n+nd
去推门 v+v
可以打 v+v
证人原则 n+n
书面材料 b+n
回应 v
却卷入 d+v
总共有 d+v
有点不想 d+d+v
似乎应该出现 d+v+v
刘鑫认识陈世峰 nh+v+nh
精神状态 n+n
来月经 v+n
也不愿意 d+d+v
正义感并非 n+v
更是称为 d+v
更不能 d+d+v
出庭作证 v+v
应当公开赔礼道歉 v+a+i
两百多 m+m
关键时刻 a+n
江秋莲还谈 nh+d+v
今日有 nt+v
律师主张 n+v
惩罚就超过 v+d+v
门铃按 n+v
公开审理 a+v
面对卑劣 v+a
以下时间 nd+n
刘鑫让 nh+v
警方没录上 n+v+nd
法槌落地有声 n+n
一遇到 d+v
概率小 n+a
目前情况 nt+n
麻烦就成 a+d+v
民法总则 i
家庭暴力 n+n
作案后 v+nd
也开始 d+v
A3出口碰面 ws+v+v
7条 m+q
出于保护 v+v
更加强大 d+a
刘鑫女儿 nh+n
一个专业词汇 m+n+n
刘鑫刻意回避 nh+d+v
刘鑫男友 nh+n
紧急休庭 a+n
救助责任 v+n
陈世峰准备 nh+v
检方给予 n+v
还花 d+v
一个焦点 m+n
责任 n
一共有 d+v
矛头指 n+v
捏造信息 v+n
面对 v
中国法 ns+n
进行管辖 v+v
该回复 v+v
一波 m+n
司法专家 n+n
刘鑫江秋莲 nh+nh
刀长 n+a
只是刚刚开始 d+d+v
受害人起诉 n+v
江歌案件 nh+n
比如农夫 v+n
江歌案刘鑫 n+nh
陈世峰陈述 nh+v
伤口陈世峰 n+nh
江歌案告诉 n+v
再谈 d+v
不要闹 d+v
正在屋里 d+nl
执行死刑人数 v+n+n
江秋莲手机 nh+n
很多华人 m+n
到洗衣房 v+n
检察官接着提问 n+v+v
拼不起 v+d+v
有看到 v+v
口水 q+n
证人目击者 n+n
中国女大学生 ns+b+n
民事赔偿 b+v
情绪之下 n+nd
要批评 v+v
有没有 v+d+v
现在连掐 nt+d+v
陈家的窑洞 nh+n
江歌案庭审 n+v
一例 m+q
中文 nz
再次强调 d+v
后来平息 nt+v
法治带 n+v
日本国民 ns+n
陈世峰抓住 nh+v
也会唤起 d+v+v
两肋 m+n
可以打开 v+v
巨大影响力 a+n
能过剩 v+v
违法嫌疑 v+n
红色通缉令 n+n
江歌死 n+v
下午男朋友来 nt+n+v
看看到 v+v
道德运气 n+n
个人情感 n+n
江歌想到 n+v
应无疑义 v+i
等走 v+v
是否锁门 v+v
私人空间 n+n
义务听从 d+v
躲乘凉 v+v
是否制造 v+v
都问 d+v
2017年12月11日 nt+nt+nt
一袭 m+q
下午于洋 nt+nh
陈世峰答 nh+v
从未递刀 d+v
也没有获准 d+d+v
一片 m+q
无法制裁 v+v
告诉防备 v+v
聚会玩乐 v+v
当天情况 nt+n
刘鑫置之不理 nh+i
公寓中 n+nd
法律惩戒 n+v
刘鑫回忆 nh+v
东中野车站 ns+n
江母介绍 nh+v
我国刑法 n+n
两次 m+q
大错 a+n
四处奔走 d+v
室友 n
小超市 a+n
为江歌 v+n
澎湃作家蒋丰 v+n+nh
抢夺中 v+nd
。江歌手 ns+n
固然主要责任 d+b+n
一些信息 m+n
足够证据 v+n
陕西省定边县 ns+ns
双方有 n+v
仅十 d+m
江歌左手 n+n
20年 m+q
正义捍卫途径 n+v+n
很多歪理 m+n
间接故意 a+d
是否具有 v+v
首开庭 m+v
江湖多风雨 n+a+n
昨天办公室 nt+n
江秋莲接受 nh+v
江母准备 n+v
陈世峰经常骚扰 nh+d+v
行为如今引起 n+nt+v
就有 d+v
要求回家 v+v
激烈情绪 a+n
全民讨伐 n+v
张贴私人信息 v+n+n
女儿江歌 n+nh
早前 a+nd
比如嫌疑人判 v+n+v
留学生都喜欢 n+d+v
第二届 m+q
陈世峰指 nh+v
京衡刑事部 nz+n
至今没有承认 d+d+v
广为赞许 d+v
杀人犯 n
好友杀害 n+v
不可全信 v+a+n
控辩双方 v+n
还发起 d+v
几下 m+nd
房屋租赁 n+v
置于烤架上 v+n+nd
为互怼 v+n
也不过 d+d
一直没有寄 d+d+v
已经吃亏 d+a
江歌携带 n+v
就装 d+v
突破性进展 n+v
公寓入口 n+n
几个 m+q
谴责 v
社会基本底线 n+a+n
事件发生 n+v
已成为 d+v
有关嫌疑人 v+n
能够履行 v+v
又下 d+v
经常听到 d+v
陈世峰提前 nh+v
绝对不能 d+d+v
聚焦江歌案 v+n+n
一起回去 d+v
央视新闻 j+n
不只是 d+d
江妈当庭失声 n+d+v
法官关注 n+v
下午15:57 nt+m
30公分 m+q
江歌收到 n+v
12:30今天 m+nt
是否持 v+v
热烈报道 a+v
房东可以逐出 n+v+v
到宿舍 v+n
似乎表明 d+v
刑事诉讼流程 b+v+n
一般情况 a+n
7 m
江秋莲显得 nh+v
泰国第十二家 ns+m+q
造成江歌死亡 v+n+v
人民法院 i
江歌损伤痕迹 nh+v+n
便陆续有 d+d+v
可令江歌 n+n
要弱 v+a
不履行 d+v
听到 v
善良必须有 a+d+v
证据有 n+v
国国籍国 n+n+n
刘鑫挡刀 nh+n
推出江歌 v+n
普通商店 a+n
善良风俗 a+n
又冷 d+a
陈世峰是否依据 nh+v+n
冷静30秒 a+m+q
陈世峰扭打 nh+v
到11月5日 v+nt+nt
医药费 n
外界一个假惺惺 n+m+n
犯罪者年龄 n+n
施工现场 v+nl
所有男性 b+n
之后刘鑫开门 nd+nh+v
更多 d+a
母亲独自抚养 n+d+v
更大 d+a
2015年到 nt+v
遇害案开庭 v+v
输不起 v+d+v
一段 m+q
刘鑫锁门 nh+v
突然情绪激动 a+n+a
仇恨言论 v+n
新京报局面 nz+n
住处 n
意江歌 ns+n
已经足以让 d+d+v
狱期间 n+nd
看到陈世峰站 v+nh+v
日本最高法院 ns+a+n
刘捡 nh+v
世界特别安静 n+d+a
才进去 d+v
朋友再补 n+d+v
就边跑 d+d+v
不觉得 d+v
江歌已经坐 n+d+v
赶紧跑 d+v
目前不知道 nt+d+v
旧城改造 n+v
案子已经开审 n+d+v
6丁目 m+n
原来以为 d+v
陈世峰进行 nh+v
检方立即站 n+d+v
作为不可拒绝 v+v+v
瞬间刷屏 nt+v
煽动仇恨 v+v
尚未得到 d+v
法医称 n+v
卑劣下限 a+n
倒讨论 d+v
公交路线 b+n
一对一 m+m
公开信中 n+nd
学术交流 n+v
反向保护 nd+v
22江歌案 m+n
当天上午 nt+nt
也可以 d+v
法律道义 n+n
很认可 d+v
澎湃采访 v+v
现在要换 nt+v+v
江歌手机 n+n
杀人凶手 v+n
好心人表示 n+v
足以让 d+v
6号 m+q
要去看 v+v+v
女性保护 n+v
很多事情 m+n
江歌把 n+n
澎湃报道 v+n
被告称 n+v
4516025人 m+n
刘鑫首度披露 nh+nt+v
11月7日 nt+nt
出租方外 n+nd
刀法医 n+n
衣领处 n+n
明确要求 a+v
都已经认识 d+d+v
相处中 v+nd
大江洋平 nh
今天检方起诉 nt+n+v
先后拉 d+v
还谈 d+v
应该保密 v+v
江歌出事 n+v
真实情况 a+n
陈世峰低垂 nh+v
作证 v
23时40分 nt+nt
最后一场 nd+m+q
一轮 m+q
家庭教育缺失 i+n
曾做 d+v
能够轻易斩断 v+d+v
可以作为 v+v
日本有关法律 ns+v+n
抽中 v+nd
九点多 nt+a
公开报道 a+n
当时下 nt+v
上午庭审结束 nt+v+v
二楼 m+n
①故意性 m+n
杀人VS v+ws
根本不知道 d+d+v
可以联系 v+v
很可怕 d+a
12月11 nt+m
个场所 q+n
一碗 m+q
接受采访 v+v
至少6刀 d+m+q
才放心 d+v
全网公敌 n+n
会动手 v+v
多次前往 m+v
能睡着 v+v
社会事件 n+n
还需要 d+v
侵犯公民行为 v+n+n
根本没有看到 d+d+v
思想变化 n+v
可以看见 v+v
两三个 m+q
公众权利 n+n
很多血 m+n
问题陈世峰 n+nh
江母伏 n+v
不可忽略 v+v
一定责任 b+n
陈世峰没有 nh+v
受伤害 v+v
15号 m+q
刘鑫是否出庭 nh+v+v
还吼 d+v
2006年教 nt+v
检方陈述 n+v
14分钟 m+q
所有国内 b+nl
可判处 v+v
仗义守约 nh+v
伤口叫做 n+v
底江歌案 ns+n
是否意味着 v+v
居酒屋 v+n
在演戏 d+v
被告人陈世峰 n+nh
万份 m+q
诸如要求 v+v
江母拒绝 j+v
5天 m+q
必须遵循 d+v
远胜过 a+v
江歌气管 n+n
陈世峰到达 nh+v
コイ v+n
多次 m
•不要单独 v+d+d
仍待 d+v
道德底线 n+n
发展中 v+nd
如纸 v+n
还提到 d+v
正当防卫 a+v
要远离 v+v
刘鑫生日 nh+n
的确有 d+v
近年处理 nt+v
主观上 n+nd
无法完全顾全 v+a+v
人要仗义 n+v+i
中国法学院 ns+n
一边通话 d+v
证据力度 n+n
事情解决 n+v
人类所有弱者 n+b+n
表示 v
并没有 d+v
刑事案件 b+n
勿念 d+v
诉讼权利 v+n
很害怕 d+v
应该必要 v+a
辩护内容 v+n
江歌个性 nh+n
日本中 ns+nd
下午6点 nt+m+q
即将前往 d+v
江歌案是否属 n+v+v
群情激奋 n+v
争议点 v+q
真的无能为力 d+i
江秋莲 nh+n
陈世峰杀害 nh+v
只听说 d+v
媒体披露 n+v
陈世峰故意杀人 nh+d+v
五大 m+a
律师问 n+v
1000张 m+q
本来要 d+v
再出去 d+v
今年5月21日 nt+nt+nt
采访同学朋友 v+n+n
203条 m+q
轻轻拍 d+v
最关心 d+v
都密不可分 d+i
生死瞬间 n+nt
杀人事实 v+n
发布逮捕令 v+n
视频报道 n+v
义务留 d+v
出国留学 v+v
才采用 d+v
从未发声 d+v
死当回 m+q
江歌通话结束 n+v+v
就行 d+a
美国荷兰 ns+ns
看到很慌乱 v+d+a
冷静理智 a+n
到二楼 v+m+n
1995年前后 nt+nd
④带来 m+v
互相学习 d+v
江歌出生 n+v
生活建筑师 v+n
也印证 d+v
到伤心得 v+v
失血死亡 v+v
先行行为 v+n
太少 d+a
将用 d+v
几名 m+q
白天曾打开 nt+d+v
最后陈述 nd+v
正面有 n+v
出席学校活动 v+n+v
日本开始 ns+v
一些案件 m+n
视频中 n+nd
梅勒1948年出名 nh+nt+a
一个总结 m+v
错都认 n+d+v
凶手执行 n+v
朴素正义 a+n
都在说 d+d+v
过分要求 a+n
小时候很懂事 nt+d+a
过去就忘记 nt+d+v
反而会让 d+v+v
道义旗帜 n+n
要杀 v+v
频繁会见 a+v
检方后确认 n+nd+v
案发3天 v+m+q
也事先准备 d+d+v
很小 d+a
开展签名活动 v+v+v
人民日报评论部 nz+n
一家 m+q
写深谙 v+v
窸窸窣窣 n+n
不哭 d+v
好朋友 a+n
最丑陋不堪 d+a
无法确定 v+v
单话题 d+n
江歌见死不救 n+i
还是蓄意谋杀 d+d+v
可以举证证明 v+v+v
谈爱 v+v
攻击 v
罪名 n
1978年诺奖得主 nt+j+n
没有拒绝 v+v
刘鑫要给予 nh+v+v
凤凰网企鹅 n+n
当庭释放 d+v
日本社会公众 ns+n+n
水果刀到底来 n+d+v
舆论夹杂 n+v
一环 m+n
救助刘鑫 v+nh
会。刀 v+i
陈世峰分 nh+v
很想 d+v
住一起 v+nl
表达者快意恩仇 n+i
陈世峰曾读 nh+d+v
陈世峰上午出庭 nh+nt+v
还无法考虑 d+v+v
分手要求 v+n
不适合 d+v
外力挡住 n+v
出庭实录 v+n
今日早上 nt+nt
很惨 d+a
一个点 m+n
水果刀外 n+nd
陈世峰判 nh+v
应该取得 v+v
二十多 m+m
无论如何也劝 i+d+v
见面时 v+n
国内舆论场 nl+n+n
庭审将持续 v+d+v
并不会 d+d+v
经常挨家挨户敲门 d+i+v
陈世峰刺 nh+v
重新审判 d+v
死刑作用 n+n
陈世峰买 nh+v
应该能见分晓 v+v+i
2016年10月份 nt+nt
刑罚执行 n+v
江母请 q+v
江母说 n+v
道德讲 n+v
江秋莲卖 nh+v
陈世峰控 nh+v
选择做 v+v
311天 m+q
可能变成 v+v
侵权人拒绝 v+v
刘鑫都拒绝 nh+d+v
不反锁 d+v
刘鑫情急之下 nh+a+nd
回国 v
终于接到 d+v
单亲母亲 b+n
上述量刑因素 b+v+n
处于状态 v+n
也强调 d+v
两段 m+q
唯一亲人 b+n
一个问题 m+n
陈世峰不求救 nh+d+v
长为 a+v
痛失 d+v
江歌问 n+v
较好 d+a
蓄意杀害 d+v
去年11月 nt+nt
江歌案拷问 n+v
集市上 n+nd
做出赔偿 v+v
当时场景 nt+n
再打开 d+v
之间微信聊天 nd+n+v
引发舆论沸腾 v+n+v
江歌是否为 n+v+v
目前信息有限 nt+n+a
④被告人 m+n
江歌单独在家 n+d+v
身边还站 nl+d+v
有时紧皱 d+d+v
话题热度 n+n
犯罪事实 v+n
上等刘鑫 b+nh
门就撞 n+d+v
事实却有 n+d+v
再重复 d+v
才借助 d+v
不判处 d+v
涉嫌 v
刘鑫身上 nh+nl
国家主权 n+n
全然不顾 d+v
人要抓 n+v+v
宁夏银川市 ns+ns
终于进入 d+v
之前陈世峰 nd+nh
可能判处 v+v
杀意 n
先入 d+v
房门水果刀 n+n
太恶心 d+a
只带 d+v
努力争取 a+v
内容 n
现实中 n+nd
再三逃避 d+v
内参快评 n+v
陈世峰20年 nh+m+q
咪蒙说 nh+v
警方 n
被告人可能判 n+v+v
曾经略微圆润 d+d+a
沟通时 v+n
开门让 v+v
适用有 v+v
矛盾对立 a+v
法庭门口 n+nl
有错但 v+n
到研究室 v+n
两肩 m+n
家庭主妇 n+n
有人 v+n
应该定性 v+v
涉及陈世峰 v+nh
受到谴责 v+v
刘鑫全家 nh+n
座位上 n+nd
询问 v
经验层面 n+n
当地司法机关 nl+n+n
活动 v
邻居 n
现在沸腾 nt+v
专业人士 n+n
江妈回应称 n+v+v
可以不指责 v+d+v
也就是 d+v
两刀 m+q
到底撒 d+v
日本具有 ns+v
遇害归责 v+v
8月25日 nt+nt
心情上 n+nd
主持人王志安 n+nh
。江秋莲 ns+n
当天一直到 nt+d+v
法庭认定 n+v
独自站 d+v
正如 d+v
面对鞠躬 v+v
声讨中 v+nd
陈世峰表情 nh+n
人民网微信 n+n
江歌案法律 n+n
江歌身子 n+n
舆论不理解 n+d+v
该变成 v+v
还堵住 d+v
电车内 n+nd
第一点 m+q
江歌喊 n+v
刑事追诉 b+v
江歌一刀 nh+m+q
刘鑫孤身一人在 nh+i+v
道义声讨 n+v
需要依靠 v+v
问题 n
用来 v+v
上午9:30 nt+nt
也没有 d+d
不报警 d+v
结果刘鑫 n+nh
不出来 d+v
先期逮捕 d+v
几刀 m+q
庭审要点 v+n
刘鑫嗯 nh+v
人民日报评论 nz+v
更具 d+v
被告人想 n+v
再次成为 d+v
一度哽咽 d+v
好像听到 v+v
很少 d+a
日本当地法院 ns+nl+n
最终确认 d+v
左颈动脉 n+n
正常生活 a+v
马浚伟认为 nh+v
刺第二次 v+m+q
杀人换衣 v+v
找江歌 v+n
倒下后 v+nd
陈世峰告诉 nh+v
江秋莲开庭 nh+v
人帮助 n+v
一个成年人 m+n
可能先去 v+d+v
一路走 m+v
回国受审 v+v
法律管 n+v
独自面对 d+v
警察署里 n+nd
11月10日 nt+nt
还骂 d+v
刘鑫拿 nh+v
江歌被害刘鑫 n+v+nh
洗衣机坏 n+v
可能进入 n+v
致死亡 v+v
选择只有 v+d+v
才惹怒 d+v
两位 m+q
没有出 d+v
刀断裂 n+v
晚上随便开门 nt+a+v
中华民族数千年 n+m+q
江歌案现场 n+nl
11日上午 nt+nt
是否应负责 v+v+v
黑色裤子 n+n
西安人 ns+n
全部去谢罪 m+v+v
公寓走廊 n+n
当江歌 v+n
同居生活 v+v
一下安静 m+a
寻求救济 v+v
完全判断 a+v
日女学生 j+b+n
42检方 m+n
包里 n+nd
有关系 v+n
彭新林同时认为 nh+d+v
却没有使用 d+d+v
将努力让 d+a+v
一堆 m+q
视听资料 n+n
